team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
STL,2008,STL,2008020032,STL,TOR,AWAY,20081013,Team Level,other,0.4345,0.4706,0.5,232,5.18,0.285,0.321,1.158,0.2,2.845,2.191,0.285,0.285,0.285,3,4,1,8,0,0,0,0,0,4,3,3,7,1,2,5,0,2,0,5,2,0,0.09,0.195,0,0,0,0,8,7,7,0,0.093,0,0,0.378,0.378,0.377,4.93,0.371,0.298,1.113,0.159,2.843,2.216,0.37,0.371,0.37,4,3,2,9,0,0,0,1,0,2,4,4,7,1,2,2,0,0,0,6,1,0,0.241,0.13,0,0,0,0,9,7,7,0,0.088,0,0,0.459,0.459,0.458
STL,2008,STL,2008020032,STL,TOR,AWAY,20081013,Team Level,all,0.3874,0.4148,0.398,3900,28.146,2.015,1.745,6.233,0.938,15.48,12.588,2.006,2.061,2.051,26,13,17,56,4,1,0,4,1,9,20,22,35,7,16,31,8,6,11,29,8,2,0.599,0.804,0.611,3,1,0,56.166,39,39.142,9,0.397,0.312,0.312,2.1,2.136,2.127,41.006,3.186,2.618,9.55,1.317,23.671,18.659,3.097,3.162,3.073,39,20,20,79,4,0,0,10,1,20,24,35,55,7,25,30,13,9,13,45,12,2,1.303,1.453,0.43,2,1,1,79.92,59,59.661,9,0.589,0,0,3.775,3.745,3.647
STL,2008,STL,2008020032,STL,TOR,AWAY,20081013,Team Level,5on5,0.4374,0.3656,0.3485,2861,16.84,1.519,0.97,3.765,0.488,8.669,7.59,1.511,1.564,1.556,18,5,11,34,2,1,0,4,0,4,12,16,21,5,12,21,5,1,10,15,6,2,0.298,0.609,0.611,1,1,0,34.166,23,23.142,8,0.201,0.312,0.312,1.407,1.444,1.436,29.884,1.954,1.836,7.224,0.936,17.005,14.046,1.888,1.929,1.865,30,13,16,59,4,0,0,8,1,14,16,26,39,4,16,23,12,8,9,36,6,1,0.936,0.788,0.23,2,1,1,59.92,43,43.661,7,0.376,0,0,2.329,2.3,2.228
STL,2008,STL,2008020032,STL,TOR,AWAY,20081013,Team Level,4on5,0.0227,0.0833,0.1,325,0.668,0.02,0.018,0.1,0.019,0.204,0.64,0.02,0.02,0.02,0,1,0,1,0,0,0,0,0,0,1,0,1,1,2,0,3,3,1,1,0,0,0.02,0,0,0,0,0,1,1,1,1,0.004,0,0,0.024,0.024,0.024,6.192,0.862,0.484,1.212,0.223,3.823,2.397,0.838,0.862,0.838,5,4,2,11,0,0,0,1,0,4,4,5,9,1,2,3,1,1,2,3,5,1,0.126,0.535,0.2,0,0,0,11,9,9,0,0.125,0,0,0.986,0.986,0.961
STL,2008,STL,2008020032,STL,TOR,AWAY,20081013,Team Level,5on4,1,1,1,482,5.457,0.191,0.436,1.21,0.232,3.763,2.168,0.19,0.191,0.19,5,3,5,13,2,0,0,0,1,1,4,3,6,0,0,5,0,0,0,8,0,0,0.191,0,0,2,0,0,13,8,8,0,0.1,0,0,0.291,0.291,0.289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
STL,2008,STL,2008020054,STL,DAL,HOME,20081016,Team Level,other,0.6981,0.5,0.5,91,0.683,0.074,0.06,0.154,0.028,0.553,0.132,0.074,0.074,0.074,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0.074,0,0,1,0,0,1,1,1,0,0.018,0,0,0.092,0.092,0.092,0.696,0.032,0.037,0.126,0.015,0.359,0.431,0.032,0.032,0.032,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0.032,0,0,0,0,0,1,1,1,0,0.009,0,0,0.042,0.042,0.042
STL,2008,STL,2008020054,STL,DAL,HOME,20081016,Team Level,all,0.575,0.4583,0.4684,3600,26.983,2.12,1.83,6.155,0.856,15.04,10.998,2.097,2.115,2.091,23,14,7,44,6,1,1,1,0,9,20,17,31,3,6,25,21,4,5,28,9,0,0.93,1.191,0,4,2,0,45.828,37,37.796,2,0.404,0.195,0.195,2.329,2.321,2.294,29.177,1.567,1.734,6.721,0.922,16.615,13.506,1.52,1.559,1.512,30,12,10,52,1,1,0,6,1,18,15,29,41,5,10,30,18,4,4,36,5,1,0.801,0.562,0.204,1,0,0,49.64,42,41.193,3,0.374,0.204,0.204,1.672,1.672,1.641
STL,2008,STL,2008020054,STL,DAL,HOME,20081016,Team Level,5on5,0.4665,0.4416,0.4444,2803,20.053,1.311,1.193,4.808,0.646,11.63,8.412,1.304,1.305,1.298,17,11,6,34,4,1,1,1,0,6,16,13,24,3,6,20,16,3,2,23,5,0,0.68,0.631,0,2,2,0,35.828,28,28.796,1,0.241,0.195,0.195,1.357,1.349,1.342,24.483,1.499,1.393,5.566,0.774,13.299,11.534,1.452,1.491,1.445,26,9,8,43,1,1,0,6,1,12,14,25,34,3,6,23,16,4,4,29,5,1,0.733,0.562,0.204,1,0,0,40.64,35,34.193,3,0.284,0.204,0.204,1.514,1.515,1.484
STL,2008,STL,2008020054,STL,DAL,HOME,20081016,Team Level,4on5,0.9069,0.2727,0.3333,403,2.484,0.341,0.137,0.305,0.071,0.704,1.441,0.341,0.341,0.341,2,1,0,3,0,0,0,0,0,1,2,2,3,0,0,1,3,0,1,1,2,0,0.053,0.288,0,0,0,0,3,3,3,1,0.031,0,0,0.372,0.372,0.372,3.999,0.035,0.304,1.03,0.133,2.958,1.541,0.035,0.035,0.035,4,2,2,8,0,0,0,0,0,5,1,4,6,1,2,3,1,0,0,6,0,0,0.035,0,0,0,0,0,8,6,6,0,0.081,0,0,0.116,0.116,0.115
STL,2008,STL,2008020054,STL,DAL,HOME,20081016,Team Level,5on4,1,1,1,303,3.762,0.394,0.44,0.888,0.112,2.153,1.013,0.378,0.394,0.378,3,2,1,6,1,0,0,0,0,2,2,2,4,0,0,3,1,0,2,3,2,0,0.123,0.271,0,1,0,0,6,5,5,0,0.113,0,0,0.508,0.508,0.487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STL,2008,STL,2008020073,STL,CHI,HOME,20081018,Team Level,other,0.9063,0.6667,0.7333,193,8.249,1.238,0.714,1.36,0.239,4.506,2.943,1.174,1.238,1.174,8,3,3,14,1,0,0,0,0,5,5,7,10,0,0,6,0,4,1,2,8,1,0.074,0.806,0.357,0,0,1,14,11,11,0,0.191,0,0,1.429,1.429,1.351,2.825,0.128,0.135,0.675,0.085,1.415,1.563,0.127,0.128,0.127,4,0,3,7,0,0,0,1,0,1,2,4,4,1,2,4,1,0,1,4,0,0,0.128,0,0,0,0,0,7,4,4,0,0.033,0,0,0.161,0.161,0.16
STL,2008,STL,2008020073,STL,CHI,HOME,20081018,Team Level,all,0.6233,0.5524,0.5733,3900,32.429,3.463,2.366,7.24,1.01,16.531,12.391,3.344,3.319,3.203,29,14,15,58,3,4,1,3,1,10,22,26,40,4,8,35,25,11,4,25,15,3,0.924,1.542,0.997,0,1,2,55.499,43,41.07,2,0.56,0.848,0.848,3.174,3.083,2.967,23.254,2.093,1.29,5.408,0.743,12.696,9.771,2.086,2.214,2.207,26,6,15,47,3,2,1,5,0,9,13,23,29,4,10,20,15,3,1,27,3,2,0.653,0.386,1.054,1,0,2,51.145,32,34.649,0,0.285,0.359,0.359,2.019,2.125,2.123
STL,2008,STL,2008020073,STL,CHI,HOME,20081018,Team Level,5on5,0.5943,0.4516,0.5,2882,17.857,1.796,1.174,4.518,0.577,8.411,6.526,1.761,1.652,1.62,17,6,5,28,2,4,1,2,1,2,12,15,21,4,8,21,23,7,2,14,7,2,0.42,0.736,0.64,0,1,1,25.499,23,21.07,2,0.253,0.848,0.848,1.2,1.109,1.097,16.679,1.226,0.883,3.991,0.536,9.192,7.173,1.22,1.347,1.341,17,6,11,34,2,1,1,4,0,6,10,15,21,3,8,13,14,3,0,19,3,1,0.493,0.386,0.346,1,0,1,38.145,23,25.649,0,0.178,0.346,0.346,1.057,1.163,1.163
STL,2008,STL,2008020073,STL,CHI,HOME,20081018,Team Level,4on5,0.0716,0.25,0.2857,345,1.488,0.057,0.047,0.222,0.037,0.448,1.19,0.056,0.057,0.056,1,1,0,2,0,0,0,1,0,0,1,1,2,0,0,6,1,0,0,2,0,0,0.057,0,0,0,0,0,2,2,2,0,0.01,0,0,0.067,0.067,0.066,3.751,0.739,0.272,0.742,0.121,2.09,1.035,0.739,0.739,0.739,5,0,1,6,1,1,0,0,0,2,1,4,4,0,0,2,0,0,0,4,0,1,0.032,0,0.707,0,0,1,6,5,5,0,0.074,0.012,0.012,0.801,0.801,0.8
STL,2008,STL,2008020073,STL,CHI,HOME,20081018,Team Level,5on4,1,1,1,480,4.835,0.373,0.431,1.14,0.157,3.167,1.732,0.353,0.373,0.353,3,4,7,14,0,0,0,0,0,3,4,3,7,0,0,2,1,0,1,7,0,0,0.373,0,0,0,0,0,14,7,7,0,0.105,0,0,0.478,0.478,0.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STL,2008,STL,2008020090,STL,DET,HOME,20081022,Team Level,other,0.8941,0.7778,0.7143,352,2.332,0.574,0.283,0.414,0.117,2.055,0.622,0.526,0.574,0.526,3,2,2,7,1,1,0,0,1,2,0,2,4,0,0,0,1,0,0,2,2,1,0.089,0.202,0.283,0,1,0,7,5,5,0,0.07,0.283,0.283,0.296,0.296,0.294,1.522,0.068,0.06,0.412,0.044,0.604,0.811,0.068,0.068,0.068,2,0,0,2,0,0,0,0,0,0,2,2,2,0,0,5,2,0,0,2,0,0,0.068,0,0,0,0,0,2,2,2,0,0.015,0,0,0.083,0.083,0.083
STL,2008,STL,2008020090,STL,DET,HOME,20081022,Team Level,all,0.4821,0.4722,0.4651,3600,26.606,2.615,1.914,6.088,0.965,16.848,10.636,2.537,2.514,2.437,24,16,11,51,3,2,0,8,1,9,17,21,37,5,10,32,23,8,9,25,14,1,0.741,1.591,0.283,1,2,0,48.398,40,37.972,5,0.43,0.35,0.35,2.63,2.512,2.479,33.239,2.809,2.175,7.832,1.053,17.678,14.453,2.779,2.946,2.914,34,12,11,57,4,3,0,10,2,10,17,30,42,7,14,34,19,4,6,39,4,3,0.87,0.448,1.49,1,1,2,61.641,46,49.519,0,0.512,0.379,0.379,2.942,3.067,3.04
STL,2008,STL,2008020090,STL,DET,HOME,20081022,Team Level,5on5,0.4762,0.4079,0.4262,2713,17.879,1.36,1.112,4.424,0.631,10.749,7.724,1.349,1.259,1.249,15,11,5,31,1,0,0,6,0,5,14,14,25,4,8,26,20,7,7,18,8,0,0.445,0.915,0,1,0,0,28.398,26,23.972,4,0.227,0,0,1.587,1.47,1.457,24.838,1.496,1.502,5.88,0.749,14.253,11.12,1.483,1.632,1.618,26,9,10,45,2,1,0,9,2,8,13,24,33,7,14,23,15,3,6,30,4,1,0.707,0.448,0.34,1,1,0,49.641,35,38.519,0,0.307,0.34,0.34,1.463,1.587,1.58
STL,2008,STL,2008020090,STL,DET,HOME,20081022,Team Level,4on5,0.0099,0.1111,0.125,171,0.799,0.012,0.015,0.158,0.017,0.259,0.539,0.012,0.012,0.012,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,1,0,0,0.012,0,0,0,0,0,1,1,1,0,0.003,0,0,0.015,0.015,0.015,5.565,1.201,0.572,1.364,0.226,2.362,1.275,1.183,1.201,1.183,5,2,1,8,2,2,0,1,0,1,1,3,5,0,0,1,1,0,0,5,0,2,0.051,0,1.15,0,0,2,8,7,7,0,0.178,0.039,0.039,1.34,1.34,1.32
STL,2008,STL,2008020090,STL,DET,HOME,20081022,Team Level,5on4,0.937,0.8571,0.8,364,5.595,0.669,0.505,1.092,0.199,3.785,1.75,0.65,0.669,0.65,6,2,4,12,1,1,0,2,0,2,2,5,7,1,2,4,2,0,2,4,4,0,0.195,0.474,0,0,1,0,12,8,8,1,0.129,0.067,0.067,0.731,0.731,0.713,1.314,0.045,0.041,0.175,0.034,0.459,1.246,0.045,0.045,0.045,1,1,0,2,0,0,0,0,0,1,1,1,2,0,0,5,1,1,0,2,0,0,0.045,0,0,0,0,0,2,2,2,0,0.012,0,0,0.057,0.057,0.057
STL,2008,STL,2008020104,STL,L.A,HOME,20081024,Team Level,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STL,2008,STL,2008020104,STL,L.A,HOME,20081024,Team Level,all,0.385,0.4343,0.4247,3600,22.329,1.366,1.364,5.646,0.687,12.822,9.115,1.327,1.293,1.254,15,16,12,43,0,0,0,4,1,8,18,15,31,10,32,26,22,2,8,27,3,1,0.789,0.348,0.229,0,0,0,40.452,31,29.109,5,0.286,0,0,1.651,1.56,1.518,29.142,2.182,1.755,7.169,0.988,17.073,12.833,2.135,2.406,2.355,29,13,14,56,4,2,1,10,1,15,10,25,38,11,34,34,13,6,2,34,5,3,0.71,0.636,0.836,1,1,2,61.513,42,45.568,1,0.377,0.441,0.441,2.118,2.326,2.3
STL,2008,STL,2008020104,STL,L.A,HOME,20081024,Team Level,5on5,0.3329,0.4324,0.4561,2760,18.747,0.934,1.137,4.938,0.575,10.808,7.607,0.932,0.861,0.859,13,13,6,32,0,0,0,3,1,6,16,13,26,9,30,18,18,1,8,24,2,0,0.692,0.243,0,0,0,0,29.452,26,24.109,5,0.23,0,0,1.165,1.074,1.071,21.734,1.872,1.221,5.46,0.707,12.374,9.366,1.843,2.096,2.063,22,9,11,42,4,1,1,7,1,10,8,18,27,9,30,24,11,4,2,24,4,3,0.557,0.479,0.836,1,1,2,47.513,31,34.568,1,0.251,0.284,0.284,1.84,2.047,2.033
STL,2008,STL,2008020104,STL,L.A,HOME,20081024,Team Level,4on5,0.3452,0.0833,0.1111,360,0.687,0.029,0.035,0.107,0.019,0.245,0.565,0.029,0.029,0.029,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,2,2,1,0,1,0,0,0.029,0,0,0,0,0,1,1,1,0,0.01,0,0,0.038,0.038,0.038,5.2,0.055,0.432,1.249,0.176,4.077,2.011,0.054,0.055,0.054,5,3,3,11,0,0,0,2,0,4,2,5,8,0,0,6,0,0,0,8,0,0,0.055,0,0,0,0,0,11,8,8,0,0.101,0,0,0.156,0.156,0.153
STL,2008,STL,2008020104,STL,L.A,HOME,20081024,Team Level,5on4,0.6125,0.7692,0.5714,480,2.895,0.403,0.192,0.6,0.092,1.77,0.942,0.367,0.403,0.367,2,2,6,10,0,0,0,1,0,2,1,2,4,0,0,6,2,0,0,2,1,1,0.069,0.105,0.229,0,0,0,10,4,4,0,0.045,0,0,0.448,0.448,0.409,2.208,0.255,0.102,0.459,0.105,0.622,1.456,0.238,0.255,0.238,2,1,0,3,0,1,0,1,0,1,0,2,3,0,0,4,2,2,0,2,1,0,0.098,0.157,0,0,0,0,3,3,3,0,0.025,0.157,0.157,0.123,0.123,0.114
STL,2008,STL,2008020116,STL,FLA,HOME,20081025,Team Level,other,0.8936,0.4,0.5,87,0.779,0.168,0.109,0.096,0.02,0.525,0.082,0.168,0.168,0.168,1,0,1,2,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0.168,0,0,0,0,2,1,1,0,0.034,0,0,0.202,0.202,0.202,0.579,0.02,0.089,0.106,0.034,0.6,0.15,0.02,0.02,0.02,0,1,2,3,0,0,0,0,0,1,0,0,1,1,2,2,0,0,0,1,0,0,0.02,0,0,0,0,0,3,1,1,0,0.034,0,0,0.054,0.054,0.054
